,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
213553010,['5'],213553,STATION PL,010,CATALINA AVE,SOUTH DEAD END (CATALINA AVE),7560,2022-07-19,92,2019-10-11,RECONSTRUCT STRUCTURE (AC),2.0,2019.0,4 - Reconstruct,Residential/Local,210,36,Asphalt
115554020,['6'],115554,STERLING AVE,020,KEELER AVE,SHASTA RD,46200,2022-07-08,31,1998-08-10,RECONSTRUCT STRUCTURE (AC),23.0,1998.0,4 - Reconstruct,Residential/Local,2310,20,Asphalt
115556020,['6'],115556,STEVENSON AVE,020,GRIZZLY PEAK BLVD,MILLER AVE,12480,2022-07-08,47,1996-07-01,RECONSTRUCT STRUCTURE (AC),26.0,1996.0,4 - Reconstruct,Residential/Local,520,24,Asphalt
115559020,['6'],115559,STODDARD WAY,020,DEAD END,GRIZZLY PEAK BLVD,5200,2022-07-07,19,,,,,,Residential/Local,260,20,Overlay of asphalt over asphalt
834561050,['3'],834561,STUART ST,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,86580,2022-07-11,19,1993-09-01,RECONSTRUCT SURFACE (AC),28.0,1993.0,4 - Reconstruct,Residential/Local,2405,36,Asphalt
835561060,['3'],835561,STUART ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,27720,2022-07-11,22,1993-09-01,RECONSTRUCT SURFACE (AC),28.0,1993.0,4 - Reconstruct,Residential/Local,660,42,Asphalt
735561063,['3'],735561,STUART ST,063,MILVIA ST,ADELINE ST,16170,2022-07-11,50,1985-08-01,SLURRY SEAL,36.0,1985.0,0 - Light Maintenance,Residential/Local,385,42,Overlay of asphalt over asphalt
735561065,['3'],735561,STUART ST,065,ADELINE ST,FULTON ST,35820,2022-07-11,37,1992-02-01,THIN AC OVERLAY(1.5 INCHES),30.0,1992.0,1 - Heavy Maintenance,Residential/Local,995,36,Overlay of asphalt over asphalt
736561072,['3'],736561,STUART ST,072,FULTON ST,ELLSWORTH ST,23760,2022-10-25,55,2022-10-25,RUBBERIZED CAPE SEAL,-1.0,2022.0,1 - Heavy Maintenance,Residential/Local,660,36,Asphalt
736561074,"['3', '8']",736561,STUART ST,074,ELLSWORTH ST,HILLEGASS AVE,64440,2022-07-29,99,2021-04-16,MILL AND THICK OVERLAY,1.0,2021.0,3 - Heavy Rehab,Residential/Local,1790,36,Overlay of asphalt over asphalt
636561077,['8'],636561,STUART ST,077,HILLEGASS AVE,BENVENUE AVE,12816,2022-07-29,99,2021-04-16,MILL AND THICK OVERLAY,1.0,2021.0,3 - Heavy Rehab,Residential/Local,356,36,Overlay of asphalt over asphalt
636561079,['8'],636561,STUART ST,079,BENVENUE AVE,COLLEGE AVE,12924,2022-09-28,100,2022-09-28,MILL AND THICK OVERLAY,-1.0,2022.0,3 - Heavy Rehab,Residential/Local,359,36,Overlay of asphalt over asphalt
637561080,['8'],637561,STUART ST,080,COLLEGE AVE,KELSEY ST & PALM CT,32400,2022-07-29,50,2004-12-15,RECONSTRUCT SURFACE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,900,36,Asphalt
516562070,['6'],516562,SUMMER ST,070,SPRUCE ST,GLEN AVE,16500,2022-07-07,17,,,,,,Residential/Local,660,25,Asphalt
516563030,['6'],516563,SUMMIT LANE,030,SUMMIT RD NR GRIZZLY PEAK,DEAD END,1080,2022-07-07,21,,,,,,Residential/Local,180,6,Asphalt
516564030,['6'],516564,SUMMIT RD,030,AJAX PL,ATLAS PL,4800,2022-07-07,20,,,,,,Residential/Local,240,20,Overlay of asphalt over asphalt
516564032,['6'],516564,SUMMIT RD,032,ATLAS PL,GRIZZLY PEAK BLVD,52325,2022-07-07,17,,,,,,Residential/Local,2275,23,Asphalt
516564038,['6'],516564,SUMMIT RD,038,GRIZZLY PEAK BLVD,END SOUTH OF GRIZZLY PEAK BL,19240,2022-07-07,11,,,,,,Residential/Local,740,26,Asphalt
111565070,['6'],111565,SUNSET LANE,070,WOODMONT AVE,WILDCAT CANYON RD,6290,2022-10-03,100,2022-10-03,RECONSTRUCT STRUCTURE (AC),-1.0,2022.0,4 - Reconstruct,Residential/Local,370,17,Asphalt
111565075,['6'],111565,SUNSET LANE,075,GRIZZLY PEAK BLVD,WOODMONT AVE,7568,2022-10-03,100,2022-10-03,RECONSTRUCT STRUCTURE (AC),-1.0,2022.0,4 - Reconstruct,Residential/Local,344,22,Asphalt
114567020,['5'],114567,SUTTER ST,020,DEL NORTE ST,EUNICE ST,67000,2022-07-19,35,1994-07-01,RECONSTRUCT STRUCTURE (AC),28.0,1994.0,4 - Reconstruct,Arterial,1340,50,Asphalt
213580050,['5'],213580,TACOMA AVE,050,SOLANO AVE,COLUSA AVE,35360,2022-07-19,69,1989-12-01,MILL AND OVERLAY W/FABRIC,32.0,1989.0,3 - Heavy Rehab,Residential/Local,1360,26,Overlay of asphalt over asphalt
319581030,['1'],319581,TALBOT AVE,030,NORTH CITY LIMIT,SANTA FE AVE,40500,2022-07-20,84,2004-08-31,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,1350,30,Asphalt
516582030,['6'],516582,TAMALPAIS RD,030,SHASTA RD,ROSE ST,45650,2022-07-07,42,1990-11-01,MILL AND THIN OVERLAY,31.0,1990.0,2 - Light Rehab,Residential/Local,2075,22,Overlay of asphalt over asphalt
637583060,['8'],637583,TANGLEWOOD RD,060,BELROSE AVE,EAST CITY LIMIT (CLAREMONT),23400,2022-07-29,35,1996-08-01,MILL AND OVERLAY W/FABRIC,25.0,1996.0,3 - Heavy Rehab,Residential/Local,900,26,Overlay of asphalt over asphalt
728584050,['7'],728584,TELEGRAPH AVE,050,DWIGHT WAY,BANCROFT WAY,40920,2022-07-29,38,1988-07-01,MILL AND OVERLAY W/FABRIC,34.0,1988.0,3 - Heavy Rehab,Collector,1320,31,Overlay of asphalt over asphalt
736584060,"['3', '8']",736584,TELEGRAPH AVE,060,DWIGHT WAY,WARD ST,117300,2022-07-29,22,2002-07-31,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Arterial,1725,68,Overlay of asphalt over asphalt
736584065,"['3', '8']",736584,TELEGRAPH AVE,065,WARD ST,ASHBY AVE,116920,2022-07-29,23,2002-07-31,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Arterial,1580,74,Overlay of asphalt over asphalt
739584070,['8'],739584,TELEGRAPH AVE,070,ASHBY AVE,CITY LIMIT (WOOLSEY ST),85340,2022-07-29,38,2008-09-25,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,1255,68,Overlay of asphalt over asphalt
319588030,['1'],319588,TEVLIN ST,030,NORTH END,WATKINS ST,6300,2022-07-19,6,,,,,,Residential/Local,300,21,Overlay of asphalt over asphalt
319588035,['1'],319588,TEVLIN ST,035,WATKINS ST,END SOUTH OF GILMAN ST,10625,2018-09-13,3,,,,,,Residential/Local,425,25,Asphalt
212589010,['5'],212589,THE ALAMEDA,010,SAN ANTONIO AVE,THOUSAND OAKS BLVD,33240,2022-07-19,76,2002-09-13,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,1385,24,Asphalt
212589012,['5'],212589,THE ALAMEDA,012,THOUSAND OAKS BLVD,CAPISTRANO AVE,42280,2022-07-19,70,2002-09-13,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,1510,28,Asphalt
212589015,['5'],212589,THE ALAMEDA,015,CAPISTRANO AVE,TACOMA AVE,8820,2022-07-19,74,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,245,36,Overlay of asphalt over asphalt
212589016,['5'],212589,THE ALAMEDA,016,TACOMA AVE,SOLANO AVE,45000,2022-07-19,93,2017-11-30,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Residential/Local,1250,36,Overlay of asphalt over asphalt
212589018,['5'],212589,THE ALAMEDA,018,SOLANO AVE,MARIN AVE,56100,2022-07-19,92,2017-11-30,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Arterial,935,60,Overlay of asphalt over asphalt
214589020,['5'],214589,THE ALAMEDA,020,MARIN AVE,HOPKINS ST,83570,2022-07-19,92,2017-11-30,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Arterial,1370,61,Overlay of asphalt over asphalt
114589028,['5'],114589,THE ALAMEDA,028,HOPKINS ST,YOLO AVE,13860,2022-07-19,69,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Arterial,210,66,Overlay of asphalt over asphalt
212591060,['5'],212591,THE CIRCLE,060,"INTERSECTION MARIN AVE, ETC.",INTERSECTION ARLINGTON AVE,12300,2022-07-19,71,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Arterial,246,50,Asphalt
115592020,['6'],115592,THE CRESCENT,020,PARK HILLS RD (NORTH),PARK HILLS RD (SOUTH),23460,2022-07-07,82,2012-07-26,RECONSTRUCT STRUCTURE (AC),9.0,2012.0,4 - Reconstruct,Residential/Local,1020,23,Asphalt
115594080,['6'],115594,THE CROSSWAYS,080,OVERLOOK RD,MIDDLEFIELD RD,4830,2022-07-07,52,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,230,21,Overlay of asphalt over asphalt
638596080,['8'],638596,THE PLAZA DR,080,ENCINA PL,PARKSIDE DR,55200,2022-07-20,82,2003-07-28,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,1380,40,Asphalt
115599080,['6'],115599,THE SHORT CUT,080,MIDDLEFIELD RD,PARK HILLS RD,4400,2022-07-07,80,2012-07-31,MILL AND THIN OVERLAY,9.0,2012.0,2 - Light Rehab,Residential/Local,200,22,Overlay of asphalt over asphalt
115601080,['6'],115601,THE SPIRAL,080,DEAD END,WILDCAT CANYON RD,7625,2022-07-08,87,2016-05-24,RECONSTRUCT SURFACE (AC),6.0,2016.0,4 - Reconstruct,Residential/Local,305,25,Asphalt
638602090,['8'],638602,THE UPLANDS,090,CLAREMONT AVE,ENCINA PL,17920,2022-07-20,39,1993-03-01,RECONSTRUCT STRUCTURE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,320,56,Asphalt
638602091,['8'],638602,THE UPLANDS,091,ENCINA PL,HILLCREST RD,47180,2022-07-20,56,,,,,,Residential/Local,1685,28,Asphalt
638602093,['8'],638602,THE UPLANDS,093,HILLCREST RD,EL CAMINO REAL,13860,2022-07-20,36,1994-10-01,MILL AND OVERLAY W/FABRIC,27.0,1994.0,3 - Heavy Rehab,Residential/Local,495,28,Overlay of asphalt over asphalt
638602097,['8'],638602,THE UPLANDS,097,EL CAMINO REAL,TUNNEL RD,26200,2022-07-20,37,1994-10-01,RECONSTRUCT STRUCTURE (AC),27.0,1994.0,4 - Reconstruct,Residential/Local,1048,25,Asphalt
638602099,['8'],638602,THE UPLANDS,099,TUNNEL RD,DEAD END,4760,2020-07-09,20,,,,,,Residential/Local,340,14,Asphalt
213604050,['5'],213604,THOUSAND OAKS BLVD,050,WEST CITY LIMIT (NEILSON),COLUSA AVE,16200,2022-07-19,47,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,450,36,Overlay of asphalt over asphalt
213604053,['5'],213604,THOUSAND OAKS BLVD,053,COLUSA AVE,VINCENTE AVE,9120,2022-07-19,74,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,380,24,Overlay of asphalt over asphalt
213604055,['5'],213604,THOUSAND OAKS BLVD,055,VINCENTE AVE,THE ALAMEDA,20400,2022-07-19,68,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,850,24,Overlay of asphalt over asphalt
212604060,['5'],212604,THOUSAND OAKS BLVD,060,THE ALAMEDA,ARLINGTON AVE,41730,2022-07-19,73,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,1605,26,Overlay of asphalt over asphalt
319605045,['1'],319605,TOMLEE DR,045,JUANITA WAY,ACTON ST,8250,2022-07-21,18,1998-08-10,MILL AND THICK OVERLAY,23.0,1998.0,3 - Heavy Rehab,Residential/Local,330,25,Overlay of asphalt over asphalt
739606070,['3'],739606,TREMONT ST,070,EMERSON ST,CITY LIMIT (WOOLSEY ST),31450,2022-07-08,26,2001-04-01,RECONSTRUCT SURFACE (AC),21.0,2001.0,4 - Reconstruct,Residential/Local,925,34,Asphalt
115610070,['6'],115610,TWAIN AVE,070,KEELER AVE,STERLING AVE,14800,2022-07-08,25,1996-07-01,RECONSTRUCT SURFACE (AC),26.0,1996.0,4 - Reconstruct,Residential/Local,740,20,Asphalt
840613050,['3'],840613,TYLER ST,050,SACRAMENTO ST,KING ST,47988,2022-07-12,26,1994-10-01,MILL AND OVERLAY W/FABRIC,27.0,1994.0,3 - Heavy Rehab,Residential/Local,1333,36,Overlay of asphalt over asphalt
320620010,['2'],320620,UNIVERSITY AVE,010,SEAWALL DR,MARINA BLVD,78000,2022-07-14,29,1988-07-01,THIN OVERLAY w/FABRIC,34.0,1988.0,1 - Heavy Maintenance,Collector,1950,40,Overlay of asphalt over asphalt
320620015,"['1', '2']",320620,UNIVERSITY AVE,015,MARINA BLVD,WEST FRONTAGE RD,105600,2022-07-14,100,2022-03-10,FDR,0.0,2022.0,3 - Heavy Rehab,Collector,1600,66,Asphalt
320620025,"['1', '2']",320620,UNIVERSITY AVE,025,3RD ST,5TH ST,46000,2022-07-29,50,2009-10-29,RECONSTRUCT STRUCTURE (AC),12.0,2009.0,4 - Reconstruct,Arterial,400,115,Asphalt
320620028,"['1', '2']",320620,UNIVERSITY AVE,028,5TH ST,6TH ST,15540,2022-07-14,52,2009-10-29,RECONSTRUCT STRUCTURE (AC),12.0,2009.0,4 - Reconstruct,Arterial,185,84,Asphalt
321620030,"['1', '2']",321620,UNIVERSITY AVE,030,6TH ST,SAN PABLO AVE,117936,2022-07-29,66,2009-09-01,RECONSTRUCT STRUCTURE (AC),12.0,2009.0,4 - Reconstruct,Arterial,1638,72,Asphalt
322620040,"['1', '2']",322620,UNIVERSITY AVE,040,SAN PABLO AVE,SACRAMENTO ST,202860,2022-07-29,55,2009-11-25,RECONSTRUCT STRUCTURE (AC),12.0,2009.0,4 - Reconstruct,Arterial,2940,69,Asphalt
423620052,"['1', '4']",423620,UNIVERSITY AVE,052,SACRAMENTO ST,MCGEE AVE,96725,2022-07-29,70,2010-06-10,RECONSTRUCT STRUCTURE (AC),12.0,2010.0,4 - Reconstruct,Arterial,1325,73,Asphalt
423620055,"['1', '4']",423620,UNIVERSITY AVE,055,MCGEE AVE,MARTIN LUTHER KING JR WAY,83727,2022-07-29,68,2010-09-30,RECONSTRUCT STRUCTURE (AC),11.0,2010.0,4 - Reconstruct,Arterial,1329,63,Asphalt
424620060,['4'],424620,UNIVERSITY AVE,060,MARTIN LUTHER KING JR WAY,MILVIA ST,45045,2022-07-28,31,2010-09-30,MILL AND THICK OVERLAY,11.0,2010.0,3 - Heavy Rehab,Arterial,715,63,Overlay of asphalt over asphalt
524620063,['4'],524620,UNIVERSITY AVE,063,MILVIA ST,SHATTUCK AVE,39690,2022-07-28,34,2010-09-30,MILL AND THICK OVERLAY,11.0,2010.0,3 - Heavy Rehab,Arterial,630,63,Overlay of asphalt over asphalt
524620064,['4'],524620,UNIVERSITY AVE,064,SHATTUCK AVE,KALA BAGAI WAY,18200,2022-07-28,55,2010-09-28,MILL AND THICK OVERLAY,11.0,2010.0,3 - Heavy Rehab,Arterial,260,70,Overlay of asphalt over asphalt
524620065,['4'],524620,UNIVERSITY AVE,065,SHATTUCK AVE,OXFORD ST,29250,2022-07-28,51,2010-09-28,MILL AND THICK OVERLAY,11.0,2010.0,3 - Heavy Rehab,Arterial,450,65,Overlay of asphalt over asphalt
320622018,"['1', '2']",320622,UNIVERSITY AVE OVERPAS,018,I-80 ON/OFF RAMPS,6TH ST,109200,2020-07-28,46,2009-10-29,RECONSTRUCT SURFACE (AC),12.0,2009.0,4 - Reconstruct,Arterial,2100,52,Asphalt
212630060,['5'],212630,VALLEJO ST,060,THE ALAMEDA,SAN RAMON AVE,11040,2022-07-18,29,,,,,,Residential/Local,460,24,Asphalt
931631055,['2'],931631,VALLEY ST,055,NORTH DEAD END (BANCROFT),DWIGHT WAY,44820,2022-07-13,41,1990-11-01,MILL AND THIN OVERLAY,31.0,1990.0,2 - Light Rehab,Residential/Local,1245,36,Overlay of asphalt over asphalt
112683010,['5'],112683,VASSAR AVE (NB),010,NORTH CITY LIMIT (KENTUCKY),KENTUCKY AVE,7125,2022-07-18,74,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,375,19,Asphalt
112683012,['5'],112683,VASSAR AVE (NB),012,KENTUCKY AVE,SPRUCE ST,18560,2022-07-18,73,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1160,16,Asphalt
112683011,['5'],112683,VASSAR AVE (SB),011,KENTUCKY AVE,NORTH CITY LIMIT (KENTUCKY),8250,2022-07-18,72,,,,,,Residential/Local,375,22,Asphalt
112683013,['5'],112683,VASSAR AVE (SB),013,SPRUCE ST,KENTUCKY AVE,16240,2022-07-18,73,,,,,,Residential/Local,1160,14,Asphalt
112632010,['5'],112632,VERMONT AVE,010,NORTH WEST DEAD END (RUGBY),MARYLAND AVE,17710,2022-07-18,96,2019-07-03,RECONSTRUCT SURFACE (AC),3.0,2019.0,4 - Reconstruct,Residential/Local,770,23,Asphalt
112632015,['5'],112632,VERMONT AVE,015,MARYLAND AVE,COLORADO AVE,18750,2022-07-18,23,1994-06-01,RECONSTRUCT STRUCTURE (AC),28.0,1994.0,4 - Reconstruct,Residential/Local,750,25,Asphalt
638252070,['8'],638252,VICENTE RD,070,ALVARADO RD,EAST CITY LIMIT NR GRAND VIEW,13200,2022-07-20,39,1998-02-27,THIN AC OVERLAY(1.5 INCHES),24.0,1998.0,1 - Heavy Maintenance,Residential/Local,550,24,Overlay of asphalt over asphalt
638633075,['8'],638633,VICENTE RD,075,EAST CITY LIMIT NR GRAND VIEW,TUNNEL RD,31440,2022-07-20,26,1998-08-24,MILL AND THICK OVERLAY,23.0,1998.0,3 - Heavy Rehab,Residential/Local,1310,24,Overlay of asphalt over asphalt
213634010,['5'],213634,VINCENTE AVE,010,NORTH END (VINCENTE WALK),THOUSAND OAKS BLVD,33600,2022-07-19,69,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1400,24,Asphalt
213634013,['5'],213634,VINCENTE AVE,013,THOUSAND OAKS BLVD,COLUSA AVE,27960,2022-07-19,66,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1165,24,Asphalt
213634016,['5'],213634,VINCENTE AVE,016,COLUSA AVE,PERALTA AVE,24000,2022-07-19,71,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1000,24,Asphalt
418637050,['5'],418637,VINE ST,050,MC GEE AVE,EDITH ST,14950,2022-07-14,86,2015-12-09,RECONSTRUCT SURFACE (AC),6.0,2015.0,4 - Reconstruct,Residential/Local,575,26,Asphalt
418637052,['5'],418637,VINE ST,052,EDITH ST,GRANT ST,12060,2022-07-14,29,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,335,36,Overlay of asphalt over asphalt
418637055,['5'],418637,VINE ST,055,GRANT ST,MARTIN LUTHER KING JR WAY,23940,2022-07-14,24,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,665,36,Overlay of asphalt over asphalt
417637060,['5'],417637,VINE ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,23940,2022-07-14,28,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,665,36,Overlay of asphalt over asphalt
517637063,['5'],517637,VINE ST,063,MILVIA ST,SHATTUCK AVE,24120,2022-07-14,20,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,670,36,Overlay of asphalt over asphalt
517637067,['5'],517637,VINE ST,067,WALNUT ST,SPRUCE ST,23940,2022-07-14,58,2006-05-17,RECONSTRUCT STRUCTURE (AC),16.0,2006.0,4 - Reconstruct,Residential/Local,665,36,Asphalt
516637070,['6'],516637,VINE ST,070,SPRUCE ST,SCENIC AVE,22860,2022-07-06,63,2014-07-25,MILL AND OVERLAY,7.0,2014.0,3 - Heavy Rehab,Residential/Local,635,36,Overlay of asphalt over asphalt
516637080,['6'],516637,VINE ST,080,SCENIC AVE,HAWTHORNE TERRACE,9450,2022-07-06,91,,,,,,Residential/Local,315,30,Overlay of asphalt over asphalt
322638040,['1'],322638,VIRGINIA GARDENS,040,NORTH DEAD END (CEDAR),VIRGINIA ST,9400,2022-07-21,84,2008-08-28,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,470,20,Overlay of asphalt over asphalt
320639020,['1'],320639,VIRGINIA ST,020,EAST FRONTAGE RD (STATE P/L),2ND ST,12950,2022-07-26,92,1995-07-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,350,37,Overlay of asphalt over asphalt
320639030,['1'],320639,VIRGINIA ST,030,2ND ST,6TH ST,47700,2022-07-26,35,,,,,,Residential/Local,1325,36,Overlay of asphalt over asphalt
321639030,['1'],321639,VIRGINIA ST,030,6TH ST,SAN PABLO AVE,59400,2022-07-26,33,2001-04-01,MILL AND OVERLAY W/FABRIC,21.0,2001.0,3 - Heavy Rehab,Residential/Local,1650,36,Overlay of asphalt over asphalt
322639040,['1'],322639,VIRGINIA ST,040,SAN PABLO AVE,ACTON ST,90000,2022-07-26,82,2008-08-29,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,2500,36,Overlay of asphalt over asphalt
322639047,['1'],322639,VIRGINIA ST,047,ACTON ST,SACRAMENTO ST,36210,2022-07-26,74,2008-08-29,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,710,51,Overlay of asphalt over asphalt
423639050,['1'],423639,VIRGINIA ST,050,SACRAMENTO ST,MC GEE AVE,45720,2022-07-26,48,1997-07-21,MILL AND OVERLAY W/FABRIC,25.0,1997.0,3 - Heavy Rehab,Collector,1270,36,Overlay of asphalt over asphalt
423639055,['1'],423639,VIRGINIA ST,055,MC GEE AVE,GRANT ST,23940,2022-07-26,60,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Collector,665,36,Overlay of asphalt over asphalt
423639057,['1'],423639,VIRGINIA ST,057,GRANT ST,MARTIN LUTHER KING JR WAY,24120,2022-07-26,78,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Collector,670,36,Overlay of asphalt over asphalt
424639060,['4'],424639,VIRGINIA ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,24480,2022-07-26,71,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,680,36,Overlay of asphalt over asphalt
524639062,['4'],524639,VIRGINIA ST,062,MILVIA ST,SHATTUCK AVE,22140,2022-07-26,81,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,615,36,Overlay of asphalt over asphalt
524639064,"['4', '6']",524639,VIRGINIA ST,064,SHATTUCK AVE,SPRUCE ST,36000,2022-07-26,64,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,1000,36,Overlay of asphalt over asphalt
525639070,['6'],525639,VIRGINIA ST,070,SPRUCE ST,ARCH ST,16200,2022-07-26,66,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,450,36,Overlay of asphalt over asphalt
525639072,['6'],525639,VIRGINIA ST,072,ARCH ST,EUCLID AVE,38160,2022-07-06,65,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,1060,36,Overlay of asphalt over asphalt
525639076,['6'],525639,VIRGINIA ST,076,EUCLID AVE,LA LOMA AVE,34000,2022-07-06,44,2002-09-13,MILL AND OVERLAY W/FABRIC,19.0,2002.0,3 - Heavy Rehab,Residential/Local,1000,34,Overlay of asphalt over asphalt
525639078,['6'],525639,VIRGINIA ST,078,LA LOMA AVE,DEAD END (AT LA VEREDA),3740,2022-07-06,89,2016-10-10,MILL AND OVERLAY,5.0,2016.0,3 - Heavy Rehab,Residential/Local,220,17,Overlay of asphalt over asphalt
213640053,['5'],213640,VISALIA AVE,053,WEST CITY LIMIT COP W/O NEILSON,COLUSA AVE,7800,2022-07-19,23,1994-06-01,RECONSTRUCT SURFACE (AC),28.0,1994.0,4 - Reconstruct,Residential/Local,325,24,Asphalt
213640055,['5'],213640,VISALIA AVE,055,COLUSA AVE,VINCENTE AVE,21360,2022-07-19,45,1994-06-01,RECONSTRUCT STRUCTURE (AC),28.0,1994.0,4 - Reconstruct,Residential/Local,890,24,Asphalt
111642010,['6'],111642,VISTAMONT AVE,010,WOODMONT AVE,SOUTH END,29480,2022-07-08,39,,,,,,Residential/Local,1340,22,Asphalt
111642110,['6'],111642,VISTAMONT AVE,110,NORTH END,WOODMONT AVE NEAR SUNSET LN,12100,2022-07-08,9,,,,,,Residential/Local,550,22,Asphalt
735650060,['3'],735650,WALKER ST,060,DERBY ST,WARD ST,5940,2022-07-12,39,,,,,,Residential/Local,330,18,Asphalt
933651065,['2'],933651,WALLACE ST,065,WARD ST,RUSSELL ST,42700,2022-07-13,17,1990-11-01,MILL AND THIN OVERLAY,31.0,1990.0,2 - Light Rehab,Residential/Local,1220,35,Overlay of asphalt over asphalt
114652020,['5'],114652,WALNUT ST,020,SHATTUCK AVE,EUNICE ST,29700,2022-07-14,26,1994-06-01,RECONSTRUCT SURFACE (AC),28.0,1994.0,4 - Reconstruct,Residential/Local,900,33,Asphalt
517652030,['5'],517652,WALNUT ST,030,EUNICE ST,CEDAR ST,95220,2022-07-14,40,2006-05-17,RECONSTRUCT STRUCTURE (AC),16.0,2006.0,4 - Reconstruct,Residential/Local,2645,36,Asphalt
524652040,['4'],524652,WALNUT ST,040,CEDAR ST,HEARST AVE,60480,2022-07-27,50,2004-12-15,RECONSTRUCT SURFACE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,1680,36,Asphalt
524652049,['4'],524652,WALNUT ST,049,BERKELEY WAY,UNIVERSITY AVE,11340,2022-07-27,95,,,,,,Residential/Local,315,36,Overlay of asphalt over asphalt
933653040,['2'],933653,WARD ST,040,SAN PABLO AVE,ACTON ST,59688,2022-07-12,97,2020-10-16,FDR,1.0,2020.0,3 - Heavy Rehab,Residential/Local,1658,36,Asphalt
933653046,['2'],933653,WARD ST,046,ACTON ST,SACRAMENTO ST,26172,2022-07-12,14,1993-09-01,RECONSTRUCT SURFACE (AC),28.0,1993.0,4 - Reconstruct,Residential/Local,727,36,Asphalt
834653050,['3'],834653,WARD ST,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,87732,2022-07-11,22,1993-09-01,RECONSTRUCT SURFACE (AC),28.0,1993.0,4 - Reconstruct,Residential/Local,2437,36,Asphalt
